,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,2:46:00,22,6:39:00,21,10:07:00,14,14:27:00,14,20:27:00,14,24:28:00,12,26:33:00,12,32:48:00,11,38:04:00,26,50:00:00,25,53:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3rd Womens,"Veronica Sosa
Kelleen Arquette
TC Ray Arquette",4251,9:00, ,12:05:00,,16:13:00,,20:00:00,,1:12:00,,7:47:00,,12:49:00,,15:25:00,,22:50:00,,6:04:00,,11:26:00,,14:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,46,3:05:00,32,4:08:00,32,3:47:00,34,5:12:00,30,6:35:00,38,5:02:00,30,2:36:00,27,7:25:00,49,7:14:00,34,5:22:00,7,3:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,46,3:05:00,34,7:13:00,33,11:00:00,33,16:12:00,31,22:47:00,30,27:49:00,31,30:25:00,29,37:50:00,27,45:04:00,30,50:26:00,26,53:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2nd Aluminum,"Pete Binion
Wade Binion
TC Samantha Binion
TC Egan Gyldenege",8,9:00, ,12:19:00,,16:35:00,,20:33:00,,1:42:00,,8:47:00,,13:20:00,,15:53:00,,23:44:00,,6:24:00,,11:18:00,,14:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:19:00,10,4:16:00,41,3:58:00,31,5:09:00,39,7:05:00,27,4:33:00,11,2:33:00,33,7:51:00,32,6:40:00,24,4:54:00,8,3:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:19:00,47,7:35:00,43,11:33:00,40,16:42:00,38,23:47:00,34,28:20:00,33,30:53:00,31,38:44:00,28,45:24:00,27,50:18:00,26,53:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10th Unlimited,"James Lowe
Ash Wineinger
Ellie Wineinger
TC Renee Wineinger
TC Mason Wineinger",55,9:00, ,11:56:00,,16:06:00,,20:00:00,,1:12:00,,8:12:00,,13:01:00,,15:49:00,,23:49:00,,6:47:00,,11:20:00,,14:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2:56:00,35,4:10:00,36,3:54:00,34,5:12:00,37,7:00:00,33,4:49:00,14,2:48:00,36,8:00:00,40,6:58:00,18,4:33:00,24,3:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,2:56:00,32,7:06:00,33,11:00:00,33,16:12:00,33,23:12:00,33,28:01:00,32,30:49:00,32,38:49:00,31,45:47:00,28,50:20:00,28,53:50:00,,,,,,,,,,,,,,,,,,,,,,,
