,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11th Unlimited,"Shawn Melnar
Dylan Melnar
John Gutierrez

TC Sharon Melnar
TC Claire Stevens",7, ,12:12:00,,16:40:00,,20:49:00,,1:50:00,,9:59:00,,15:28:00,,18:26:00,,3:50:00,,11:50:00,,17:09:00,,5:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,35,3:12:00,30,4:28:00,26,4:09:00,27,5:01:00,32,8:09:00,37,5:29:00,18,2:58:00,24,9:24:00,35,8:00:00,24,5:19:00,80,12:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,35,3:12:00,30,7:40:00,29,11:49:00,27,16:50:00,28,24:59:00,26,30:28:00,25,33:26:00,24,42:50:00,25,50:50:00,23,56:09:00,28,68:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2nd Standard,"Joe Geisinger
Curt Slaten out @ Victoria

TC Mike Drost
TC Debbie Richardson",54, ,12:01:00,,16:13:00,,20:02:00,,0:37:00,,7:39:00,,12:19:00,,15:24:00,,1:37:00,,11:22:00,,19:07:00,,5:57:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,19,3:01:00,13,4:12:00,14,3:49:00,14,4:35:00,15,7:02:00,11,4:40:00,24,3:05:00,35,10:13:00,66,9:45:00,66,7:45:00,75,10:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,19,3:01:00,16,7:13:00,15,11:02:00,16,15:37:00,14,22:39:00,15,27:19:00,15,30:24:00,19,40:37:00,23,50:22:00,29,58:07:00,29,68:57:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12th Unlimited,"Cooper Knight
Andrew Noonan
Randall Murphy

TC Daphane Noonan
TC Dean Braune",432, ,12:35:00,,17:35:00,,22:34:00,,4:35:00,,12:35:00,,18:18:00,,22:00:00,,8:15:00,,16:00:00,,22:35:00,,7:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,58,3:35:00,60,5:00:00,59,4:59:00,59,6:01:00,29,8:00:00,41,5:43:00,47,3:42:00,36,10:15:00,28,7:45:00,49,6:35:00,62,8:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,58,3:35:00,59,8:35:00,56,13:34:00,54,19:35:00,46,27:35:00,41,33:18:00,41,37:00:00,38,47:15:00,35,55:00:00,36,61:35:00,30,70:13:00,,,,,,,,,,,,,,,,,,,,,,,
