,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
27,111,Jeff Ecton              David Roberts          Zac Mial  (DNF)        TC - Russ Roberts,9:00, ,12:01:00, ,16:34:00, ,17:50:00, ,21:07:00, ,3:21:00, ,12:17:00, ,18:07:00, ,21:28:00, ,7:32:00, ,20:49:00, ,2:32:00, ,7:06:00
,10th Unlimited,,,21,3:01:00,26,4:33:00,36,1:16:00,29,3:17:00,32,6:14:00,24,8:56:00,25,5:50:00,30,3:21:00,24,10:04:00,51,13:17:00,47,5:43:00,33,4:34:00
,,,,21,3:01:00,25,7:34:00,26,8:50:00,26,12:07:00,28,18:21:00,25,27:17:00,24,33:07:00,24,36:28:00,20,46:32:00,28,59:49:00,28,65:32:00,27,70:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,106,Don Zeek            Daniel Zeek               TC - Sandy Zeek,9:00, ,12:27:00, ,17:20:00, ,18:36:00, ,22:07:00, ,5:12:00, ,14:56:00, ,21:25:00, ,6:12:00, ,16:08:00, ,0:12:00, ,6:02:00, ,9:35:00
,1st Parent-Child,,,43,3:27:00,33,4:53:00,37,1:16:00,32,3:31:00,40,7:05:00,38,9:44:00,31,6:29:00,59,8:47:00,20,9:56:00,33,8:04:00,49,5:50:00,14,3:33:00
,,,,43,3:27:00,34,8:20:00,34,9:36:00,32,13:07:00,35,20:12:00,35,29:56:00,31,36:25:00,32,45:12:00,29,55:08:00,29,63:12:00,30,69:02:00,28,72:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1620,Grant Jacobs          Hoyt Moss                   TC - Chris Henderson,9:00, ,12:35:00, ,17:53:00, ,19:17:00, ,23:03:00, ,6:08:00, ,16:00:00, ,23:00:00, ,3:06:00, ,17:10:00, ,0:30:00, ,6:00:00, ,9:50:00
,1st Aluminum,,,53,3:35:00,49,5:18:00,53,1:24:00,38,3:46:00,40,7:05:00,42,9:52:00,34,7:00:00,42,4:06:00,45,14:04:00,24,7:20:00,44,5:30:00,21,3:50:00
,,,,53,3:35:00,51,8:53:00,47,10:17:00,40,14:03:00,37,21:08:00,38,31:00:00,32,38:00:00,31,42:06:00,30,56:10:00,30,63:30:00,29,69:00:00,29,72:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,497,Erin Magee                TC - Martha Koslosky,9:00, ,12:09:00, ,16:28:00, ,17:35:00, ,20:59:00, ,3:02:00, ,12:25:00, ,18:04:00, ,21:02:00, ,8:45:00, ,16:23:00, ,20:35:00, ,9:51:00
,1st Womens Solo,,,27,3:09:00,14,4:19:00,9,1:07:00,31,3:24:00,30,6:03:00,31,9:23:00,20,5:39:00,19,2:58:00,38,11:43:00,27,7:38:00,19,4:12:00,51,13:16:00
,,,,27,3:09:00,23,7:28:00,19,8:35:00,24,11:59:00,26,18:02:00,26,27:25:00,22,33:04:00,22,36:02:00,23,47:45:00,23,55:23:00,23,59:35:00,30,72:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,199,Chris Hosek          Chris Fulbright         Lee Higgins          Kevin Knebel (DNF)   TC - Chuck Hosek,9:00, ,12:20:00, ,17:48:00, ,19:15:00, ,23:15:00, ,8:53:00, ,19:22:00, ,3:23:00, ,7:00:00, ,17:45:00, ,0:55:00, ,6:15:00, ,10:05:00
,11th Unlimited,,,35,3:20:00,56,5:28:00,55,1:27:00,43,4:00:00,63,9:38:00,51,10:29:00,38,8:01:00,35,3:37:00,30,10:45:00,23,7:10:00,41,5:20:00,20,3:50:00
,,,,35,3:20:00,49,8:48:00,46,10:15:00,43,14:15:00,47,23:53:00,48,34:22:00,35,42:23:00,34,46:00:00,31,56:45:00,31,63:55:00,31,69:15:00,31,73:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,313,Tom Fleshman      Richard Plowes        TC - Ralph Castillo           ,9:00, ,12:43:00, ,18:00:00, ,19:28:00, ,23:31:00, ,7:24:00, ,17:15:00, ,1:24:00, ,6:41:00, ,18:09:00, ,2:07:00, ,7:25:00, ,11:30:00
,3rd Novice,,,59,3:43:00,46,5:17:00,56,1:28:00,44,4:03:00,47,7:53:00,41,9:51:00,39,8:09:00,55,5:17:00,37,11:28:00,31,7:58:00,39,5:18:00,27,4:05:00
,,,,59,3:43:00,53,9:00:00,54,10:28:00,46,14:31:00,42,22:24:00,40,32:15:00,33,40:24:00,33,45:41:00,32,57:09:00,32,65:07:00,32,70:25:00,32,74:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
